06:30:08,Walking
06:30:10,Walking
06:30:18,Walking
06:30:26,Walking
06:30:34,Walking
06:30:42,Walking
06:30:50,Walking
06:30:58,Walking
06:31:07,Walking
06:31:15,Walking
06:31:23,Walking
06:31:31,Walking
06:31:39,Walking
06:31:47,Walking
06:31:55,Walking
06:32:03,Walking
06:32:11,Walking
06:32:19,Walking
06:32:27,Walking
06:32:35,Walking
06:32:43,Walking
06:32:51,Walking
06:32:59,Walking
06:33:07,Running
06:33:15,Running
06:33:23,Running
06:33:31,Running
06:33:39,Running
06:33:47,Running
06:33:55,Running
06:34:30,Running
06:33:37,Running
06:33:42,Running
06:33:47,Running
06:33:50,Running
06:33:58,Running
06:34:06,Running
06:34:14,Running
06:34:22,Running
06:34:30,Running
06:34:38,Running
06:34:46,Running
06:34:54,Running
06:35:04,Running
06:35:12,Running
06:35:20,Running
06:35:28,Running
06:35:36,Running
06:35:44,Running
06:35:52,Running
06:36:00,Running
06:36:08,Running
06:36:16,Running
06:36:24,Running
06:36:32,Running
06:36:40,Running
06:36:48,Running
06:36:56,Running
06:37:04,Running
06:37:12,Running
06:37:20,Running
06:37:28,Running
06:37:36,Running
06:37:44,Running
06:37:52,Running
06:38:00,Running
06:38:08,Walking
06:38:16,Walking
06:38:24,Walking
06:38:32,Walking
06:38:40,Walking
06:38:48,Walking
06:38:56,Walking
06:39:04,Walking
06:39:12,Walking
06:39:20,Walking
06:39:28,Walking
06:39:36,Walking
06:39:44,Walking
06:39:52,Walking
06:40:00,Walking
06:40:08,Unknown
06:40:16,Unknown
06:40:24,Unknown
06:40:32,Unknown
06:40:40,Unknown
06:40:48,Unknown
06:40:56,Unknown
06:41:04,JumpingJack
06:41:40,JumpingJack
06:41:40,JumpingJack
06:41:40,JumpingJack
